Month,Total_Volume,Avg_Price
2023-01-01,7977028.878010007,20120.714262544974
2023-02-01,8642691.271650007,23296.022164186463
2023-03-01,9516189.358459914,25001.758309919307
2023-04-01,1626745.5584999924,28833.283433101427
2023-05-01,1302000.4922099982,27480.922186828022
2023-06-01,1387207.4827500132,27686.36519930567
2023-07-01,925773.817310001,30083.964516576998
2023-08-01,1025866.5502299964,27910.90541420223
2023-09-01,809329.0489299987,26299.142942129703
2023-10-01,1141403.6798999875,29618.219976702596
2023-11-01,1055690.5963799937,36484.31814282377
2023-12-01,1195409.9759999926,42423.89568548241
2024-01-01,1403408.8497800143,42924.80114874341
2024-02-01,1206112.6954499937,49496.30433165466
2024-03-01,1706807.3813420048,67513.86063978364
2024-04-01,1201500.9585200022,65953.14126273093
2024-05-01,945031.0407199977,65101.87228270729
2024-06-01,696818.1881799962,66044.54303519074
2024-07-01,908004.3342599998,62736.48853607699
2024-08-01,1010291.4739599972,60059.14774507188
2024-09-01,734117.0757500003,60180.01275972204
2024-10-01,756010.8634300019,65573.66817047413
2024-11-01,1343559.242196003,86247.55715647948
2024-12-01,1019450.0657730005,98342.98473543987
2025-01-01,864534.7383220015,99988.08895474911
2025-02-01,810850.1812999999,95565.39453844265
2025-03-01,845293.5310099998,85037.42215479318
2025-04-01,793424.6761100006,86333.17527175776
2025-05-01,642073.313565007,103351.81408131574
2025-06-01,427479.3739500039,105680.47264606357
2025-07-01,484220.7951469998,115148.75628158545
2025-08-01,471307.3884959956,114916.34995654163
2025-09-01,374538.33967000386,112975.38090925875
2025-10-01,261434.96638599987,120930.66711013706
